formulae,sentences,quantifiers,sat,unary,binary,num_clauses,prob
"[ForAll(x, Implies(kamerdyner(x), Not(aktor(x)))), Exists(x, And(Not(ekonomista(x)), poeta(x))), ForAll(x, Implies(aktor(x), ekonomista(x))), Exists(x, And(Not(ekonomista(x)), Not(kamerdyner(x))))]","['żaden kamerdyner nie jest aktorem', 'jakiś nie-ekonomista jest poetą', 'każdy aktor jest ekonomistą', 'pewien nie-ekonomista nie jest kamerdynerem']","['all', 'exists', 'all', 'exists']",sat,4,1,4,1
"[ForAll(x, Implies(Not(ekonomista(x)), Not(bokser(x)))), ForAll(x, Implies(bokser(x), Not(sprzątacz(x)))), ForAll(x, Implies(sprzątacz(x), ekonomista(x))), ForAll(x, Implies(maszynista(x), przysięgły(x))), Exists(x, And(ekonomista(x), Not(sprzątacz(x))))]","['żaden nie-ekonomista nie jest bokserem', 'żaden bokser nie jest sprzątaczem', 'każdy sprzątacz jest ekonomistą', 'każdy maszynista jest przysięgłym', 'jakiś ekonomista nie jest sprzątaczem']","['all', 'all', 'all', 'all', 'exists']",sat,5,1,5,1
"[Exists(x, And(skrzypek(x), Not(analityk_ilościowy(x)))), ForAll(x, Implies(skrzypek(x), analityk_ilościowy(x))), Exists(x, And(Not(analityk_ilościowy(x)), Not(skrzypek(x)))), Exists(x, And(Not(analityk_ilościowy(x)), Not(uczony(x)))), ForAll(x, Implies(Not(skrzypek(x)), dj(x)))]","['pewien skrzypek nie jest analitykiem ilościowym', 'każdy skrzypek jest analitykiem ilościowym', 'jakiś nie-analityk ilościowy nie jest skrzypkiem', 'jakiś nie-analityk ilościowy nie jest uczonym', 'każdy nie-skrzypek jest DJ-em']","['exists', 'all', 'exists', 'exists', 'all']",unsat,5,1,5,1
"[ForAll(x, Implies(Not(wojownik(x)), kamerdyner(x))), ForAll(x, Implies(Not(leśniczy(x)), projektant_wnętrz(x))), ForAll(x, Implies(leśniczy(x), Not(wojownik(x)))), ForAll(x, Implies(kamerdyner(x), leśniczy(x)))]","['każdy nie-wojownik jest kamerdynerem', 'każdy nie-leśniczy jest projektantem wnętrz', 'żaden leśniczy nie jest wojownikiem', 'każdy kamerdyner jest leśniczym']","['all', 'all', 'all', 'all']",sat,4,1,4,1
"[ForAll(x, Implies(Not(turysta(x)), Not(matematyk(x)))), Exists(x, And(turysta(x), tenisista(x))), ForAll(x, Implies(tenisista(x), inżynier(x))), ForAll(x, Implies(Not(turysta(x)), Not(inżynier(x)))), ForAll(x, Implies(taksówkarz(x), inżynier(x)))]","['żaden nie-turysta nie jest matematykiem', 'pewien turysta jest tenisistą', 'każdy tenisista jest inżynierem', 'żaden nie-turysta nie jest inżynierem', 'każdy taksówkarz jest inżynierem']","['all', 'exists', 'all', 'all', 'all']",sat,5,1,5,1
"[ForAll(x, Implies(Not(rodzic(x)), naukowiec_danych(x))), ForAll(x, Implies(rodzic(x), watażka(x))), ForAll(x, Implies(Not(kelner(x)), rodzic(x))), Exists(x, And(Not(watażka(x)), Not(naukowiec_danych(x))))]","['każdy nie-rodzic jest naukowcem danych', 'każdy rodzic jest watażką', 'każdy nie-kelner jest rodzicem', 'jakiś nie-watażka nie jest naukowcem danych']","['all', 'all', 'all', 'exists']",unsat,4,1,4,1
"[ForAll(x, Implies(Not(obrońca(x)), książę(x))), Exists(x, And(Not(kucharz(x)), obrońca(x))), ForAll(x, Implies(Not(szeryf(x)), Not(książę(x)))), Exists(x, And(Not(książę(x)), Not(kucharz(x))))]","['każdy nie-obrońca jest księciem', 'jakiś nie-kucharz jest obrońcą', 'żaden nie-szeryf nie jest księciem', 'jakiś nie-książę nie jest kucharzem']","['all', 'exists', 'all', 'exists']",sat,4,1,4,1
"[ForAll(x, Implies(Not(fotograf(x)), maszynista(x))), ForAll(x, Implies(kamerdyner(x), Not(bloger(x)))), ForAll(x, Implies(kamerdyner(x), Not(fotograf(x)))), Exists(x, And(fotograf(x), maszynista(x)))]","['każdy nie-fotograf jest maszynistą', 'żaden kamerdyner nie jest blogerem', 'żaden kamerdyner nie jest fotografem', 'pewien fotograf jest maszynistą']","['all', 'all', 'all', 'exists']",sat,4,1,4,1
"[Exists(x, And(księżniczka(x), Not(dyrektor_szkoły(x)))), Exists(x, And(dyrektor_szkoły(x), doradca(x))), ForAll(x, Implies(student(x), Not(doradca(x)))), ForAll(x, Implies(dyrektor_szkoły(x), doradca(x)))]","['jakiś księżniczka nie jest dyrektorem szkoły', 'jakiś dyrektor szkoły jest doradcą', 'żaden student nie jest doradcą', 'każdy dyrektor szkoły jest doradcą']","['exists', 'exists', 'all', 'all']",sat,4,1,4,1
"[ForAll(x, Implies(Not(zapaśnik(x)), Not(prezes(x)))), ForAll(x, Implies(prezes(x), Not(zapaśnik(x)))), Exists(x, And(zapaśnik(x), sportowiec(x))), ForAll(x,
       Implies(prezes(x),
               Not(kontroler_ruchu_lotniczego(x)))), ForAll(x, Implies(Not(kontroler_biletów(x)), zapaśnik(x)))]","['żaden nie-zapaśnik nie jest prezesem', 'żaden prezes nie jest zapaśnikiem', 'jakiś zapaśnik jest sportowcem', 'żaden prezes nie jest kontrolerem ruchu lotniczego', 'każdy nie-kontroler biletów jest zapaśnikiem']","['all', 'all', 'exists', 'all', 'all']",sat,5,1,5,1
