formulae,sentences,quantifiers,sat,unary,binary,num_clauses,prob
"[ForAll(x, Implies(naukowiec(x), Not(sędzia(x)))), ForAll(x, Implies(policjant(x), naukowiec(x))), Exists(x, And(Not(sędzia(x)), policjant(x)))]","['żaden naukowiec nie jest sędzia', 'każdy policjant są naukowiec', 'pewien nie-sędzia są policjant']","['all', 'all', 'exists']",sat,3,1,3,1
"[ForAll(x, Implies(fizyk(x), archeolog(x))), Exists(x, And(Not(fizyk(x)), Not(archeolog(x)))), Exists(x, And(Not(doradca(x)), dyrektor_szkoły(x))), ForAll(x, Implies(Not(fizyk(x)), doradca(x))), Exists(x, And(Not(dyrektor_szkoły(x)), archeolog(x)))]","['każdy fizyk są archeolog', 'jakiś nie-fizyk nie jest archeolog', 'jakiś nie-doradca jest dyrektor_szkoły', 'każdy nie-fizyk są doradca', 'pewien nie-dyrektor_szkoły są archeolog']","['all', 'exists', 'exists', 'all', 'exists']",sat,5,1,5,1
"[ForAll(x,
       Implies(Not(trener_atletyczny(x)), Not(chirurg(x)))), Exists(x,
       And(Not(trener_atletyczny(x)),
           Not(kontroler_ruchu_lotniczego(x)))), Exists(x, And(kontroler_ruchu_lotniczego(x), chirurg(x)))]","['żaden nie-trener_atletyczny nie jest chirurg', 'pewien nie-trener_atletyczny nie są kontroler_ruchu_lotniczego', 'jakiś kontroler_ruchu_lotniczego jest chirurg']","['all', 'exists', 'exists']",sat,3,1,3,1
"[ForAll(x, Implies(Not(mistrz(x)), Not(tenisista(x)))), Exists(x, And(Not(sprzątacz(x)), Not(tenisista(x)))), ForAll(x, Implies(Not(tenisista(x)), Not(mistrz(x)))), Exists(x, And(Not(tenisista(x)), Not(mistrz(x))))]","['żaden nie-mistrz nie jest tenisista', 'jakiś nie-sprzątacz nie jest tenisista', 'żaden nie-tenisista nie jest mistrz', 'pewien nie-tenisista nie są mistrz']","['all', 'exists', 'all', 'exists']",sat,4,1,4,1
"[ForAll(x, Implies(Not(kręgarz(x)), geodeta(x))), Exists(x, And(projektant_wnętrz(x), kręgarz(x))), ForAll(x, Implies(geodeta(x), Not(agent_nieruchomości(x)))), Exists(x, And(Not(kręgarz(x)), nauczyciel(x))), ForAll(x, Implies(geodeta(x), Not(kręgarz(x))))]","['każdy nie-kręgarz są geodeta', 'pewien projektant_wnętrz są kręgarz', 'żaden geodeta nie jest agent_nieruchomości', 'jakiś nie-kręgarz jest nauczyciel', 'żaden geodeta nie jest kręgarz']","['all', 'exists', 'all', 'exists', 'all']",sat,5,1,5,1
"[ForAll(x, Implies(królowa(x), Not(urzędnik(x)))), Exists(x, And(sekretarz(x), Not(strzelec(x)))), ForAll(x, Implies(Not(królowa(x)), sekretarz(x))), Exists(x, And(Not(królowa(x)), Not(strzelec(x))))]","['żaden królowa nie jest urzędnik', 'jakiś sekretarz nie jest strzelec', 'każdy nie-królowa są sekretarz', 'jakiś nie-królowa nie jest strzelec']","['all', 'exists', 'all', 'exists']",sat,4,1,4,1
"[ForAll(x, Implies(Not(arcymistrz(x)), kasjer(x))), Exists(x, And(Not(fryzjer_męski(x)), arcymistrz(x))), Exists(x, And(Not(leśniczy(x)), dyrektor_szkoły(x))), Exists(x, And(kasjer(x), leśniczy(x))), Exists(x, And(leśniczy(x), fryzjer_męski(x)))]","['każdy nie-arcymistrz są kasjer', 'pewien nie-fryzjer_męski są arcymistrz', 'jakiś nie-leśniczy jest dyrektor_szkoły', 'pewien kasjer są leśniczy', 'jakiś leśniczy jest fryzjer_męski']","['all', 'exists', 'exists', 'exists', 'exists']",sat,5,1,5,1
"[Exists(x, And(Not(dyrektor_finansowy(x)), Not(fryzjer(x)))), ForAll(x,
       Implies(Not(dyrektor_finansowy(x)),
               Not(analityk_biznesowy(x)))), Exists(x, And(leśniczy(x), analityk_biznesowy(x))), Exists(x, And(dyrektor_finansowy(x), Not(leśniczy(x))))]","['pewien nie-dyrektor_finansowy nie są fryzjer', 'żaden nie-dyrektor_finansowy nie jest analityk_biznesowy', 'jakiś leśniczy jest analityk_biznesowy', 'jakiś dyrektor_finansowy nie jest leśniczy']","['exists', 'all', 'exists', 'exists']",sat,4,1,4,1
"[Exists(x, And(uczony(x), monologista(x))), ForAll(x, Implies(kręgarz(x), uczony(x))), ForAll(x, Implies(Not(kręgarz(x)), Not(tancerz(x)))), ForAll(x, Implies(Not(kręgarz(x)), tancerz(x)))]","['pewien uczony są monologista', 'każdy kręgarz są uczony', 'żaden nie-kręgarz nie jest tancerz', 'każdy nie-kręgarz są tancerz']","['exists', 'all', 'all', 'all']",sat,4,1,4,1
"[Exists(x, And(pilot(x), handlowiec(x))), ForAll(x, Implies(księżniczka(x), Not(strażak(x)))), ForAll(x, Implies(księżniczka(x), Not(strażak(x)))), ForAll(x, Implies(Not(księżniczka(x)), Not(handlowiec(x)))), ForAll(x, Implies(epidemiolog(x), księżniczka(x)))]","['pewien pilot są handlowiec', 'żaden księżniczka nie jest strażakiem', 'żaden księżniczka nie jest strażakiem', 'żaden nie-księżniczka nie jest handlowiec', 'każdy epidemiolog są księżniczka']","['exists', 'all', 'all', 'all', 'all']",sat,5,1,5,1
"[ForAll(x, Implies(piekarz(x), oszust(x))), ForAll(x, Implies(piekarz(x), Not(oszust(x)))), Exists(x, And(piekarz(x), oszust(x)))]","['każdy piekarz są oszustem', 'żaden piekarz nie jest oszustem', 'pewien piekarz są oszustem']","['all', 'all', 'exists']",unsat,3,1,3,1
"[ForAll(x, Implies(skryba(x), epidemiolog(x))), ForAll(x, Implies(Not(królowa(x)), Not(skryba(x)))), Exists(x, And(epidemiolog(x), królowa(x))), ForAll(x, Implies(Not(skryba(x)), Not(królowa(x))))]","['każdy skryba są epidemiolog', 'żaden nie-królowa nie jest skryba', 'jakiś epidemiolog jest królowa', 'żaden nie-skryba nie jest królowa']","['all', 'all', 'exists', 'all']",sat,4,1,4,1
"[Exists(x, And(analityk_ilościowy(x), Not(hydraulik(x)))), ForAll(x, Implies(hydraulik(x), analityk_ilościowy(x))), ForAll(x, Implies(hydraulik(x), profesor(x)))]","['jakiś analityk_ilościowy nie jest hydraulik', 'każdy hydraulik są analityk_ilościowy', 'każdy hydraulik są profesor']","['exists', 'all', 'all']",sat,3,1,3,1
"[ForAll(x, Implies(monologista(x), Not(gość(x)))), ForAll(x, Implies(jubiler(x), Not(gość(x)))), ForAll(x, Implies(Not(gość(x)), Not(jubiler(x))))]","['żaden monologista nie jest gość', 'żaden jubiler nie jest gość', 'żaden nie-gość nie jest jubiler']","['all', 'all', 'all']",sat,3,1,3,1
"[ForAll(x, Implies(naukowiec(x), duch(x))), Exists(x, And(naukowiec(x), agent_nieruchomości(x))), ForAll(x, Implies(duch(x), Not(dekarz(x)))), Exists(x, And(Not(dekarz(x)), naukowiec(x)))]","['każdy naukowiec są duch', 'jakiś naukowiec jest agent_nieruchomości', 'żaden duch nie jest dekarz', 'jakiś nie-dekarz jest naukowiec']","['all', 'exists', 'all', 'exists']",sat,4,1,4,1
"[Exists(x, And(audiolog(x), rycerz(x))), ForAll(x, Implies(rycerz(x), Not(spiker_radiowy(x)))), ForAll(x, Implies(Not(audiolog(x)), Not(spiker_radiowy(x)))), ForAll(x, Implies(rycerz(x), mistrz(x)))]","['jakiś audiolog jest rycerz', 'żaden rycerz nie jest spiker_radiowy', 'żaden nie-audiolog nie jest spiker_radiowy', 'każdy rycerz są mistrz']","['exists', 'all', 'all', 'all']",sat,4,1,4,1
"[ForAll(x, Implies(rycerz(x), królowa(x))), ForAll(x, Implies(Not(królowa(x)), rycerz(x))), ForAll(x, Implies(geodeta(x), królowa(x))), ForAll(x, Implies(leśniczy(x), Not(rycerz(x))))]","['każdy rycerz są królowa', 'każdy nie-królowa są rycerz', 'każdy geodeta są królowa', 'żaden leśniczy nie jest rycerz']","['all', 'all', 'all', 'all']",sat,4,1,4,1
"[ForAll(x, Implies(Not(uczony(x)), Not(audytor(x)))), ForAll(x, Implies(żywiciel(x), uczony(x))), ForAll(x, Implies(audytor(x), Not(uczony(x))))]","['żaden nie-uczony nie jest audytor', 'każdy żywiciel są uczony', 'żaden audytor nie jest uczony']","['all', 'all', 'all']",sat,3,1,3,1
"[Exists(x, And(Not(żeglarz(x)), Not(monologista(x)))), Exists(x, And(Not(rozgrywający(x)), żeglarz(x))), ForAll(x, Implies(Not(rozgrywający(x)), żeglarz(x))), Exists(x, And(Not(monologista(x)), Not(żeglarz(x))))]","['jakiś nie-żeglarz nie jest monologista', 'pewien nie-rozgrywający są żeglarz', 'każdy nie-rozgrywający są żeglarz', 'pewien nie-monologista nie są żeglarz']","['exists', 'exists', 'all', 'exists']",sat,4,1,4,1
"[ForAll(x, Implies(naukowiec_ai(x), Not(obrońca(x)))), Exists(x, And(Not(naukowiec(x)), Not(naukowiec_ai(x)))), Exists(x, And(nauczyciel(x), obrońca(x))), Exists(x, And(nauczyciel(x), Not(naukowiec(x))))]","['żaden naukowiec_ai nie jest obrońca', 'jakiś nie-naukowiec nie jest naukowiec_ai', 'pewien nauczyciel są obrońca', 'jakiś nauczyciel nie jest naukowiec']","['all', 'exists', 'exists', 'exists']",sat,4,1,4,1
"[ForAll(x, Implies(Not(szeryf(x)), naukowiec_danych(x))), ForAll(x, Implies(Not(naukowiec_danych(x)), psycholog(x))), Exists(x, And(rozgrywający(x), naukowiec_danych(x))), ForAll(x, Implies(psycholog(x), Not(rozgrywający(x))))]","['każdy nie-szeryf są naukowiec_danych', 'każdy nie-naukowiec_danych są psycholog', 'jakiś rozgrywający jest naukowiec_danych', 'żaden psycholog nie jest rozgrywający']","['all', 'all', 'exists', 'all']",sat,4,1,4,1
"[Exists(x, And(Not(geodeta(x)), aktuariusz(x))), Exists(x, And(Not(aktuariusz(x)), więzień(x))), ForAll(x, Implies(Not(jubiler(x)), Not(geodeta(x)))), ForAll(x, Implies(Not(aktuariusz(x)), Not(więzień(x))))]","['pewien nie-geodeta są aktuariusz', 'pewien nie-aktuariusz są więzień', 'żaden nie-jubiler nie jest geodeta', 'żaden nie-aktuariusz nie jest więzień']","['exists', 'exists', 'all', 'all']",unsat,4,1,4,1
"[Exists(x, And(poeta(x), mechanik(x))), Exists(x, And(Not(uczony(x)), mechanik(x))), Exists(x, And(poeta(x), uczony(x)))]","['jakiś poeta jest mechanik', 'jakiś nie-uczony jest mechanik', 'jakiś poeta jest uczony']","['exists', 'exists', 'exists']",sat,3,1,3,1
"[ForAll(x,
       Implies(Not(zawiadowca_stacji(x)), Not(kaskader(x)))), Exists(x, And(Not(kaskader(x)), Not(urzędnik(x)))), ForAll(x,
       Implies(Not(zawiadowca_stacji(x)), Not(urzędnik(x)))), Exists(x, And(kaskader(x), Not(urzędnik(x))))]","['żaden nie-zawiadowca_stacji nie jest kaskader', 'jakiś nie-kaskader nie jest urzędnik', 'żaden nie-zawiadowca_stacji nie jest urzędnik', 'pewien kaskader nie są urzędnik']","['all', 'exists', 'all', 'exists']",sat,4,1,4,1
"[ForAll(x, Implies(fotograf(x), Not(bloger(x)))), ForAll(x, Implies(Not(tenisista(x)), Not(bloger(x)))), Exists(x, And(tenisista(x), Not(fotograf(x)))), ForAll(x, Implies(Not(żołnierz(x)), Not(fotograf(x)))), ForAll(x, Implies(tenisista(x), fotograf(x)))]","['żaden fotograf nie jest bloger', 'żaden nie-tenisista nie jest bloger', 'pewien tenisista nie są fotograf', 'żaden nie-żołnierz nie jest fotograf', 'każdy tenisista są fotograf']","['all', 'all', 'exists', 'all', 'all']",unsat,5,1,5,1
"[ForAll(x, Implies(Not(hydraulik(x)), Not(kamerdyner(x)))), ForAll(x, Implies(mechanik(x), Not(hydraulik(x)))), Exists(x, And(Not(terapeuta(x)), Not(mechanik(x)))), Exists(x, And(hydraulik(x), Not(kamerdyner(x))))]","['żaden nie-hydraulik nie jest kamerdynerem', 'żaden mechanik nie jest hydraulik', 'pewien nie-terapeuta nie są mechanik', 'pewien hydraulik nie są kamerdynerem']","['all', 'all', 'exists', 'exists']",sat,4,1,4,1
"[ForAll(x, Implies(królowa(x), rowerzysta(x))), ForAll(x, Implies(Not(królowa(x)), Not(strateg(x)))), Exists(x, And(Not(królowa(x)), leśniczy(x))), ForAll(x, Implies(królowa(x), Not(rowerzysta(x))))]","['każdy królowa są rowerzysta', 'żaden nie-królowa nie jest strateg', 'pewien nie-królowa są leśniczy', 'żaden królowa nie jest rowerzysta']","['all', 'all', 'exists', 'all']",sat,4,1,4,1
"[Exists(x, And(Not(kasjer(x)), Not(ekonomista(x)))), ForAll(x, Implies(ekonomista(x), handlowiec(x))), Exists(x, And(Not(psycholog(x)), handlowiec(x))), Exists(x, And(ekonomista(x), handlowiec(x)))]","['pewien nie-kasjer nie są ekonomista', 'każdy ekonomista są handlowiec', 'jakiś nie-psycholog jest handlowiec', 'pewien ekonomista są handlowiec']","['exists', 'all', 'exists', 'exists']",sat,4,1,4,1
"[Exists(x, And(Not(artysta(x)), Not(zawiadowca_stacji(x)))), ForAll(x,
       Implies(Not(artysta(x)), Not(zawiadowca_stacji(x)))), ForAll(x, Implies(arcymistrz(x), aktuariusz(x))), ForAll(x, Implies(artysta(x), Not(arcymistrz(x))))]","['jakiś nie-artysta nie jest zawiadowca_stacji', 'żaden nie-artysta nie jest zawiadowca_stacji', 'każdy arcymistrz są aktuariusz', 'żaden artysta nie jest arcymistrz']","['exists', 'all', 'all', 'all']",sat,4,1,4,1
"[Exists(x, And(Not(psycholog(x)), Not(dyrektor_szkoły(x)))), Exists(x, And(Not(rodzic(x)), Not(sportowiec(x)))), ForAll(x, Implies(Not(rodzic(x)), Not(psycholog(x)))), ForAll(x, Implies(Not(dyrektor_szkoły(x)), psycholog(x)))]","['jakiś nie-psycholog nie jest dyrektor_szkoły', 'jakiś nie-rodzic nie jest sportowiec', 'żaden nie-rodzic nie jest psycholog', 'każdy nie-dyrektor_szkoły są psycholog']","['exists', 'exists', 'all', 'all']",unsat,4,1,4,1
"[ForAll(x, Implies(watażka(x), psycholog(x))), ForAll(x, Implies(woźny_sądowy(x), Not(psycholog(x)))), Exists(x, And(psycholog(x), watażka(x))), ForAll(x, Implies(woźny_sądowy(x), analityk_ilościowy(x)))]","['każdy watażka są psycholog', 'żaden woźny_sądowy nie jest psycholog', 'jakiś psycholog jest watażka', 'każdy woźny_sądowy są analityk_ilościowy']","['all', 'all', 'exists', 'all']",sat,4,1,4,1
"[Exists(x, And(przysięgły(x), naukowiec(x))), ForAll(x, Implies(Not(przysięgły(x)), geodeta(x))), Exists(x, And(Not(geodeta(x)), Not(przysięgły(x))))]","['jakiś przysięgły jest naukowiec', 'każdy nie-przysięgły są geodeta', 'pewien nie-geodeta nie są przysięgły']","['exists', 'all', 'exists']",unsat,3,1,3,1
"[Exists(x, And(żeglarz(x), sekretarz(x))), Exists(x, And(Not(strażak(x)), Not(żeglarz(x)))), ForAll(x, Implies(strażak(x), żeglarz(x)))]","['jakiś żeglarz jest sekretarz', 'pewien nie-strażak nie są żeglarz', 'każdy strażak są żeglarz']","['exists', 'exists', 'all']",sat,3,1,3,1
"[Exists(x, And(Not(dj(x)), Not(pomocnik(x)))), Exists(x, And(Not(dj(x)), pomocnik(x))), ForAll(x, Implies(Not(elektryk(x)), pomocnik(x))), Exists(x, And(pomocnik(x), Not(elektryk(x))))]","['jakiś nie-dj nie jest pomocnik', 'pewien nie-dj są pomocnik', 'każdy nie-elektryk są pomocnik', 'jakiś pomocnik nie jest elektryk']","['exists', 'exists', 'all', 'exists']",sat,4,1,4,1
"[Exists(x, And(Not(astronom(x)), treser_zwierząt(x))), Exists(x, And(astronom(x), pomocnik(x))), Exists(x, And(analityk_ilościowy(x), pomocnik(x))), Exists(x, And(Not(treser_zwierząt(x)), astronom(x)))]","['pewien nie-astronom są treser_zwierząt', 'jakiś astronom jest pomocnik', 'jakiś analityk_ilościowy jest pomocnik', 'jakiś nie-treser_zwierząt jest astronom']","['exists', 'exists', 'exists', 'exists']",sat,4,1,4,1
"[ForAll(x, Implies(Not(wykładowca(x)), Not(optyk(x)))), ForAll(x, Implies(Not(odwiedzający(x)), optyk(x))), ForAll(x, Implies(osadnik(x), Not(wykładowca(x)))), Exists(x, And(Not(optyk(x)), Not(psycholog(x)))), Exists(x, And(psycholog(x), osadnik(x)))]","['żaden nie-wykładowca nie jest optykiem', 'każdy nie-odwiedzający są optykiem', 'żaden osadnik nie jest wykładowca', 'jakiś nie-optyk nie jest psycholog', 'jakiś psycholog jest osadnik']","['all', 'all', 'all', 'exists', 'exists']",sat,5,1,5,1
"[ForAll(x, Implies(treser_zwierząt(x), elektryk(x))), ForAll(x, Implies(Not(elektryk(x)), maszynista(x))), Exists(x, And(kapitan(x), elektryk(x))), ForAll(x, Implies(elektryk(x), treser_zwierząt(x)))]","['każdy treser_zwierząt są elektryk', 'każdy nie-elektryk są maszynista', 'pewien kapitan są elektryk', 'każdy elektryk są treser_zwierząt']","['all', 'all', 'exists', 'all']",sat,4,1,4,1
"[Exists(x, And(Not(antropolog(x)), Not(jubiler(x)))), Exists(x, And(florysta(x), Not(treser_zwierząt(x)))), Exists(x, And(Not(jubiler(x)), Not(florysta(x)))), ForAll(x, Implies(treser_zwierząt(x), florysta(x)))]","['pewien nie-antropolog nie są jubiler', 'jakiś florysta nie jest treser_zwierząt', 'pewien nie-jubiler nie są florysta', 'każdy treser_zwierząt są florysta']","['exists', 'exists', 'exists', 'all']",sat,4,1,4,1
"[Exists(x, And(dyrektor(x), rycerz(x))), ForAll(x, Implies(Not(rycerz(x)), Not(dyrektor(x)))), ForAll(x, Implies(oszust(x), Not(antropolog(x)))), Exists(x, And(Not(tajny_agent(x)), dyrektor(x))), ForAll(x, Implies(rycerz(x), dyrektor(x)))]","['pewien dyrektor są rycerz', 'żaden nie-rycerz nie jest dyrektorem', 'żaden oszust nie jest antropolog', 'pewien nie-tajny_agent są dyrektorem', 'każdy rycerz są dyrektorem']","['exists', 'all', 'all', 'exists', 'all']",sat,5,1,5,1
